Pixel,0.0A,0.7A,0.8A,0.9A,1.0A,1.1A,1.2A,1.3A,1.4A,1.5A,1.6A,1.7A,1.8A,1.9A
109,36.1384,47.451,43.6274,41.1534,37.7612,33.0058,30.2122,27.0196,21.8074,20.7878,19.7324,17.4348,16.5617,15.0196
110,54.7347,46.2468,40.9804,36.0277,32.5375,27.1061,24.3345,22.06,18.7982,17.3529,16.4256,14.9746,14.2745,13.5755
111,62.1073,41.09,36.6863,31.3022,27.1257,22.8904,21.0796,18.6874,15.3668,14.6471,14.406,12.5236,12.7255,12.0069
112,67.2595,38.7762,35.1707,29.3472,24.6217,21.1442,19.376,17,14.5098,13.3529,13.0819,11.7843,12.1176,11.2353
113,69.4764,41.3529,36.09,30.2664,25.1615,22.158,19.1845,16.9308,14.3656,13.0946,12.4406,11.7151,11.97,10.9608
114,68.1776,46.1546,41.2537,36.2468,30.2976,27.7901,22.3979,20.1349,15.1857,13.9273,13.0173,12.5352,12.3587,10.8939
115,53.7036,48.6759,44.5017,41.4752,36.2203,32.9412,26.9216,23.6344,17.8501,15.0704,14.5686,13.4233,12.8316,11.737
116,43.6621,49.3483,47.8777,44.0035,40.2561,36.5409,32.3622,28.6136,22.8685,17.9746,16.5571,14.8258,13.7589,12.6159
117,27.0358,46.1788,46.8858,44.4729,42.9896,40.466,38.1326,34.9631,30.0854,24.0784,21.8489,19.2999,16.9527,15.4625
118,15.2122,41.2191,42.624,42.6148,43.0185,41.8777,40.9642,38.3172,34.9527,29.1176,26.902,23.722,20.5536,18.4164
119,13,36.3333,39,39,40.6667,41,41.3333,39.6667,37,32.6667,31,27.6667,24.3333,21
120,11.895,21.3287,24.8489,27.4245,29.6367,32.0969,34.4775,35.293,33.6148,34.6678,34.872,32.7578,32.1107,30.0369
121,11.3137,16.2215,19.3587,21.4833,24.2803,25.7313,28.2607,30.6794,31.0461,33.7785,35.0265,34.4994,35.2491,33.0854
122,10.902,14.9216,16.9296,18.2514,20.669,22.2122,23.9043,26.8178,28.5548,32.045,34.286,34.1015,36.1292,34.3253
